S/N	LINE ITEM	Unit	Tier 4 	Tier 3 	Tier 2	Tier 1 	Tier 0
192	CEFPODOXIME SYR - 40Mg/5ml(ORELOX)	BLT/100ml	 11,760.00 	 13,440.00 	 15,960.00 	 18,480.00 	 25,200.00 
193	CEFPODOXIME TABLET - 200MG (ORELOX)	TAB/200mg	 420.42 	 480.48 	 570.57 	 660.66 	 900.90 
194	CEFTAZIDIME INJECTION - 1000MG	Vial/1000mg	 2,116.80 	 2,419.20 	 2,872.80 	 3,326.40 	 4,536.00 
195	CEFTAZIDIME INJECTION - 1000MG (FORTRUM)	Vial/1000mg	 5,880.00 	 6,720.00 	 7,980.00 	 9,240.00 	 12,600.00 
196	CEFTRIAZONE 1G + SALBACTAM 500MG INJ. - (1500MG)TANDAK	Vial/1	 4,704.00 	 5,376.00 	 6,384.00 	 7,392.00 	 10,080.00 
197	CEFTRIAZONE INJECTION - 1000MG (OFRAMAX)	Vial/1000mg	 2,646.00 	 3,024.00 	 3,591.00 	 4,158.00 	 5,670.00 
198	CEFTRIAZONE INJECTION - 1000MG (ROCEPHINE)	Vial/1000mg	 9,996.00 	 11,424.00 	 13,566.00 	 15,708.00 	 21,420.00 
199	CEFTRIAZONE INJECTION - 1G	Vial/1000mg	 1,734.60 	 1,982.40 	 2,354.10 	 2,725.80 	 3,717.00 
200	CEFTRIAZONE INJECTION - 500MG	Vial/500mg	 1,293.60 	 1,478.40 	 1,755.60 	 2,032.80 	 2,772.00 
201	CEFUROXIME  TABLET - 250MG	Tab/250mg	 294.00 	 336.00 	 399.00 	 462.00 	 630.00 
202	CEFUROXIME  TABLET - 250MG (ZINNAT)	Tab/250mg	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
203	CEFUROXIME INJECTION  - 750MG 	Vial/750mg	 1,734.60 	 1,982.40 	 2,354.10 	 2,725.80 	 3,717.00 
204	CEFUROXIME INJECTION - 750MG (ZINACEF)	Tab/750mg	 2,146.20 	 2,452.80 	 2,912.70 	 3,372.60 	 4,599.00 
205	CEFUROXIME SUSPENSION - 125MG/5ML	Blt/100ml	 4,116.00 	 4,704.00 	 5,586.00 	 6,468.00 	 8,820.00 
206	CEFUROXIME SUSPENSION - 125MG/5ML (ZINNAT SYP.)	Blt/50ml	 15,288.00 	 17,472.00 	 20,748.00 	 24,024.00 	 32,760.00 
207	CELECOBIX CAPSULE - 200MG (CELEBREX)	Cap/200mg	 235.20 	 268.80 	 319.20 	 369.60 	 504.00 
208	CEPHALEXIN CAPSULE - 250MG (KEFLEX)	Cap/250mg	 67.62 	 77.28 	 91.77 	 106.26 	 144.90 
209	CEPHALEXIN CAPSULE - 500MG (KEFLEX)	Cap/500mg	 1,087.80 	 1,243.20 	 1,476.30 	 1,709.40 	 2,331.00 
210	CEPHALEXIN SYRUP - 125MG/5ML (SPORIDEX)	Blt/100ml	 2,058.00 	 2,352.00 	 2,793.00 	 3,234.00 	 4,410.00 
211	CEPHALEXIN SYRUP (50ML) (VERCEF SRP)	Blt/100ml	 1,205.40 	 1,377.60 	 1,635.90 	 1,894.20 	 2,583.00 
212	CERUMOL EAR DROP	Tube/10ml	 11,760.00 	 13,440.00 	 15,960.00 	 18,480.00 	 25,200.00 
213	CERVARIV  VACCINE	Vial/1	 23,520.00 	 26,880.00 	 31,920.00 	 36,960.00 	 50,400.00 
214	CERVICAL COLLAR 	Unit/1	 11,760.00 	 13,440.00 	 15,960.00 	 18,480.00 	 25,200.00 
215	CHICKEN POX VACCINE - (VARICELLA ZOSTER) 	Dose/1	 26,460.00 	 30,240.00 	 35,910.00 	 41,580.00 	 56,700.00 
216	CHLORAMPHENICOL CAPSULE - 250MG (CHLORCAP)	Cap/250mg	 38.22 	 43.68 	 51.87 	 60.06 	 81.90 
217	CHLORAMPHENICOL EYE OINTMENT	Tube/15g	 1,400.00 	 1,600.00 	 1,900.00 	 2,200.00 	 3,000.00 
218	CHLORAMPHENICOL EYE/EAR DROP - (ELISCA)	Tube/10ml	 1,400.00 	 1,600.00 	 1,900.00 	 2,200.00 	 3,000.00 
219	CHLORAMPHENICOL INJECTION -  	Vial/1000Mg	 323.40 	 369.60 	 438.90 	 508.20 	 693.00 
220	CHLORAMPHENICOL SYRUP	Blt/100ml	 499.80 	 571.20 	 678.30 	 785.40 	 1,071.00 
221	CHLOROQUINE PHOSPHATE INJECTION - 5ML	Vial/5ml	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
222	CHLOROQUINE PHOSPHATE SYRUP - 50MG/5ML(EMZOR)	Blt/60ml	 382.20 	 436.80 	 518.70 	 600.60 	 819.00 
223	CHLOROQUINE PHOSPHATE TABLET - 250MG	Tab/250mg	 26.46 	 30.24 	 35.91 	 41.58 	 56.70 
224	CHLORPHENIRAMINE INJECTION - 10MG/1ML (PIRITON)	Amp/10mg	 382.20 	 436.80 	 518.70 	 600.60 	 819.00 
225	CHLORPHENIRAMINE SUSPENSION - 2MG/ML(PIRITON SYRUP)	Blt/60ml	 882.00 	 1,008.00 	 1,197.00 	 1,386.00 	 1,890.00 
226	CHLORPHENIRAMINE SUSPENSION -4MG/ML( PIRITON EXPECTORANT)	Blt/60ml	 1,440.60 	 1,646.40 	 1,955.10 	 2,263.80 	 3,087.00 
227	CHLORPHENIRAMINE TABLET - 4MG (PIRITON)	Tab/4mg	 23.52 	 26.88 	 31.92 	 36.96 	 50.40 
228	CHLORPROMAZINE INJECTION - 50MG/2ML 	Vial/2ml	 382.20 	 436.80 	 518.70 	 600.60 	 819.00 
229	CHLORPROMAZINE INJECTION - 50MG/2ML (LARGATIL INJECTION)	Vial/50mg/2ml	 676.20 	 772.80 	 917.70 	 1,062.60 	 1,449.00 
230	CHLORPROMAZINE TABLET - 100MG (LARGATIL)	Tab/100mg	 55.86 	 63.84 	 75.81 	 87.78 	 119.70 
231	CHLORPROPRAMIDE TABLET - 250MG (DIABENESE)	Tab/250mg	 49.98 	 57.12 	 67.83 	 78.54 	 107.10 
232	CHOLERA VACCINES	Vial/1	 16,170.00 	 18,480.00 	 21,945.00 	 25,410.00 	 34,650.00 
233	CHOLINE SALICATE + CETALKONIUM GEL - 10G (BONJELA)	Tube/10g	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
234	CHONDROXIN S04 + GLUCOSAMINE HCL+METHYLS-CH4 CAPS - (ARTHOCARE FORTE) 	Cap/1	 588.00 	 672.00 	 798.00 	 924.00 	 1,260.00 
235	CHONDROXIN SULPHATE + GLUCOSAMINE HCL CAPSULE - (ARTHOCARE)	Cap/1	 470.40 	 537.60 	 638.40 	 739.20 	 1,008.00 
236	CHYMOTRYPSIN TABLET - 50,000U (CHYMORAL)	Tab/50000iu	 117.60 	 134.40 	 159.60 	 184.80 	 252.00 
237	CIMETIDINE INJECTION - 2ML	Vial/200mg	 705.60 	 806.40 	 957.60 	 1,108.80 	 1,512.00 
238	CIMETIDINE TABLET - 200MG	Vial/200mg	 88.20 	 100.80 	 119.70 	 138.60 	 189.00 
239	CIMETIDINE TABLET - 400MG	Tab/400mg	 99.96 	 114.24 	 135.66 	 157.08 	 214.20 
240	CINNARIZINE TABLET - 25MG (STUGERON)	Tab/25mg	 117.60 	 134.40 	 159.60 	 184.80 	 252.00 
241	CIPROFLOXACIN EAR/EYE DROP - 	Pkt/10ml	 2,380.00 	 2,720.00 	 3,230.00 	 3,740.00 	 5,100.00 
242	CIPROFLOXACIN INFUSION(PLUS INFUSION SET)	Tube/100ml	 1,146.60 	 1,310.40 	 1,556.10 	 1,801.80 	 2,457.00 
243	CIPROFLOXACIN TABLET - 500MG	Tab/500mg	 205.80 	 235.20 	 279.30 	 323.40 	 441.00 
244	CLARITHROMYCIN SYRUP	Blt/60ml	 5,880.00 	 6,720.00 	 7,980.00 	 9,240.00 	 12,600.00 
245	CLARITHROMYCIN TABLET - 500MG	Tab/500mg	 411.60 	 470.40 	 558.60 	 646.80 	 882.00 
246	CLINDAMYCIN  CAPSULE - 150MG (DALACIN C)	Cap/150mg	 164.64 	 188.16 	 223.44 	 258.72 	 352.80 
247	CLINDAMYCIN  LOTION - (DALACIN T)	Tube/50ml	 2,469.60 	 2,822.40 	 3,351.60 	 3,880.80 	 5,292.00 
248	CLINDAMYCIN GEL	Per tube	 1,470.00 	 1,680.00 	 1,995.00 	 2,310.00 	 3,150.00 
249	CLINDAMYCIN INJECTION- 300MG  [DALACIN]	Vial/300mg	 2,940.00 	 3,360.00 	 3,990.00 	 4,620.00 	 6,300.00 
250	CLOBETASOL CREAM - (DERMOVATE)	Tube/20g	 9,996.00 	 11,424.00 	 13,566.00 	 15,708.00 	 21,420.00 
251	CLOMIFENE CITRATE TABLET - 50MG  (CLOMID)	Tab/50mg	 558.60 	 638.40 	 758.10 	 877.80 	 1,197.00 
252	CLOPIDOGREL TABLET - 75MG	Tab/75mg	 126.42 	 144.48 	 171.57 	 198.66 	 270.90 
253	CLOPIDOGREL TABLET - 75MG(INSTACLOP)	Tab/75mg	 132.89 	 151.87 	 180.35 	 208.82 	 284.76 
254	CLOTRIMAZOLE CREAM 	Tube/20g	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
255	CLOTRIMAZOLE EAR DROP	Tube/10ml	 970.20 	 1,108.80 	 1,316.70 	 1,524.60 	 2,079.00 
256	CLOTRIMAZOLE VAGINAL CREAM - (GYNAMED/MYCOTEN)	Tube/20g	 2,352.00 	 2,688.00 	 3,192.00 	 3,696.00 	 5,040.00 
257	CLOTRIMAZOLE VAGINAL PESSARY - 100MG	Pess/100mg	 470.40 	 537.60 	 638.40 	 739.20 	 1,008.00 
258	CLOXACILLIN CAPSULE - 250MG (CLOXAC)	Cap/250mg	 44.10 	 50.40 	 59.85 	 69.30 	 94.50 
259	COD LIVER  SYRUP - (SEVEN SEA)	Blt/200ml	 2,234.40 	 2,553.60 	 3,032.40 	 3,511.20 	 4,788.00 
260	COD LIVER OIL CAPSULE -	Cap/1	 102.90 	 117.60 	 139.65 	 161.70 	 220.50 
261	COMBINATION 3	Tab	 382.20 	 436.80 	 518.70 	 600.60 	 819.00 
262	COMPOUNDING SKILL AND CONTAINER	Pcs	 558.60 	 638.40 	 758.10 	 877.80 	 1,197.00 
263	COTRIMOXAZOLE:  SYP -  240MG/5ML (EMTRN)	Blt/50ml	 441.00 	 504.00 	 598.50 	 693.00 	 945.00 
264	COTRIMOXAZOLE: SYRP - 240MG/5ML(SEPTRIN)	Blt/50ml	 735.00 	 840.00 	 997.50 	 1,155.00 	 1,575.00 
265	COTRIMOXAZOLE: TABLET - 480MG (SEPTRIN)	Tab/960mg	 85.26 	 97.44 	 115.71 	 133.98 	 182.70 
266	COTTON WOOL	Pcs	 588.00 	 672.00 	 798.00 	 924.00 	 1,260.00 
267	COUGH SYRUP - (CHILDREN)	BTL/100ml	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
268	COUGH SYRUP - (EMZOLYN EXPECTORANT)	Blt/100ml	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
269	COUGH SYRUP - (EMZOLYN FOR CHILDREN)	Blt/100ml	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
270	COUGH SYRUP - (EXPECTORANT)	BTL/100ml	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
271	CREPE BANDAGE  4."	Pcs	 529.20 	 604.80 	 718.20 	 831.60 	 1,134.00 
272	CREPE BANDAGE 6"	Pcs	 705.60 	 806.40 	 957.60 	 1,108.80 	 1,512.00 
273	CROMOLYN SODIUM EYE DROP - (CROMAX)	Per tube	 2,420.00 	 3,080.00 	 3,300.00 	 4,400.00 	 5,500.00 
274	CYPROHEPTADINE+ ASPARTAT SUSP- 10MLS(DYNAMOGEN )	Tube/10ml	 4,704.00 	 5,376.00 	 6,384.00 	 7,392.00 	 10,080.00 
275	DABIGATRAN TABLET - 110MG (PRADAXA)	Tab/110mg	 1,293.60 	 1,478.40 	 1,755.60 	 2,032.80 	 2,772.00 
276	DAFLON TABLET - 500MG	Tab/500mg	 470.40 	 537.60 	 638.40 	 739.20 	 1,008.00 
277	DANAZOL TABLET -  100MG	Tab/100mg	 308.70 	 352.80 	 418.95 	 485.10 	 661.50 
278	DAPAGLIFLOXIN TABLET - (FORXIGA)	Tab	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
279	DARROWS SOLUTION INFUSION FULL STRENGHT - 500ML(PLUS INFUSION SET)	Tube/500ml	 1,146.60 	 1,310.40 	 1,556.10 	 1,801.80 	 2,457.00 
280	DARROWS SOLUTION INFUSION HALF STRENGHT - 500ML(PLUS INFUSION SET)	Tube/500ml	 1,146.60 	 1,310.40 	 1,556.10 	 1,801.80 	 2,457.00 
281	DEQUALIUM LOZENGELS TAB - 250MG (DEQUADIN LOZENGELS)	Loz/250mg	 117.60 	 134.40 	 159.60 	 184.80 	 252.00 
282	DEXAMETHASONE TABLET - 0.5MG (DEXAREL)	Tab/0.5ng	 38.22 	 43.68 	 51.87 	 60.06 	 81.90 
283	DEXAMETAZONE INJECTION - 4MG	Vial/4mg	 294.00 	 336.00 	 399.00 	 462.00 	 630.00 
284	DEXAMETAZONE PLUS HYPROMELLOSE EYE DROP - (MAXIDEX) 	Per tube	 2,420.00 	 3,080.00 	 3,300.00 	 4,400.00 	 5,500.00 
285	DEXAMETHASONE + GENT + CLOTRIMAZOLE CREAM - 20G (VECUTEN)	Tube/20g	 1,440.60 	 1,646.40 	 1,955.10 	 2,263.80 	 3,087.00 
286	DEXAMETHASONE + GENTAMICIN CREAM - 20G ( BIOCUTEN)	Tube/2og	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
287	DEXTRACIN EYE DROP	Tube/10ml	 2,530.00 	 3,220.00 	 3,450.00 	 4,600.00 	 5,750.00 
288	DEXTROSE SALINE  INFUSION: 4.3% - 500ML(PLUS INFUSION SET)	Bag/500ml	 1,146.60 	 1,310.40 	 1,556.10 	 1,801.80 	 2,457.00 
289	DEXTROSE SALINE  INFUSION: 5% - 500ML(PLUS INFUSION SET)	Bag/500ml	 1,146.60 	 1,310.40 	 1,556.10 	 1,801.80 	 2,457.00 
290	DEXTROSE WATER  INFUSION: 10% - 500ML(PLUS INFUSION SET)	Bag/500ml	 1,146.60 	 1,310.40 	 1,556.10 	 1,801.80 	 2,457.00 
291	DEXTROSE WATER  INFUSION: 5% - 500ML(PLUS INFUSION SET)	Bag/500ml	 1,146.60 	 1,310.40 	 1,556.10 	 1,801.80 	 2,457.00 
292	DEXTROSE WATER INFUSION: 50% - 100ML(PLUS INFUSION SET)	Bag/100ml	 1,146.60 	 1,310.40 	 1,556.10 	 1,801.80 	 2,457.00 
293	DEXTROSE WATER INFUSION: 50% - 500ML(PLUS INFUSION SET)	Bag/500ml	 1,146.60 	 1,310.40 	 1,556.10 	 1,801.80 	 2,457.00 
294	DIAZEPAM IM INJECTION - 10MG	Vial/10mg	 588.00 	 672.00 	 798.00 	 924.00 	 1,260.00 
295	DIAZEPAM TABLET - 5MG (DIAZEPIAM ROCHE)	Tab/5mg	 294.00 	 336.00 	 399.00 	 462.00 	 630.00 
296	DICLOFENAC CREAM - (VOLTAREN EMULGENT CREAM)	Tube/30g	 1,470.00 	 1,680.00 	 1,995.00 	 2,310.00 	 3,150.00 
297	DICLOFENAC EYE DROP	Tube/10ml	 2,530.00 	 3,220.00 	 3,450.00 	 4,600.00 	 3,450.00 
298	DICLOFENAC GEL - 30G (OLFEN)	Tube/30mg	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
299	DICLOFENAC INJECTION - 75 MG (VOLTAREEN)	Vial/75mg	 617.40 	 705.60 	 837.90 	 970.20 	 1,323.00 
300	DICLOFENAC INJECTION - 75MG 	Vial/75ng	 441.00 	 504.00 	 598.50 	 693.00 	 945.00 
301	DICLOFENAC NA + CHOLESSTYRAMINE TAB - 75MG( FLOTAC)	TAB/1	 294.00 	 336.00 	 399.00 	 462.00 	 630.00 
302	DICLOFENAC NA-75MG + MISOPROSOL-200MG TABLET - 275MG(ARTHROTEC)	TAB/1	 294.00 	 336.00 	 399.00 	 462.00 	 630.00 
303	DICLOFENAC SODIUM PATCH - 100MG(DICLOPAD)	Patch/100mg	 558.60 	 638.40 	 758.10 	 877.80 	 1,197.00 
304	DICLOFENAC SUPPOSITORY - 100MG 	Supp/100mg	 676.20 	 772.80 	 917.70 	 1,062.60 	 1,449.00 
305	DICLOFENAC TABLET - 100MG	Tab/100mg	 117.60 	 134.40 	 159.60 	 184.80 	 252.00 
306	DICLOFENAC TABLET - 100MG (CATAFLAM)	Tab/100mg	 82.32 	 94.08 	 111.72 	 129.36 	 176.40 
307	DICLO-NEUROBION TABLET	Tab/1	 47.04 	 53.76 	 63.84 	 73.92 	 100.80 
308	DIETARY SUPPLEMENT - VIUSID	Satchet/1	 199.92 	 228.48 	 271.32 	 314.16 	 428.40 
309	DIGOXIN INJECTION - 0.25MG	Vial/0.250mg	 323.40 	 369.60 	 438.90 	 508.20 	 693.00 
310	DIGOXIN TABLET - 0.25MG	Tab/0.25mg	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
311	DIHYDROCODEINE TABLET - 30MG (DF-118)	Tab/30mg	 646.80 	 739.20 	 877.80 	 1,016.40 	 1,386.00 
312	DIPHENOXYLATE + ATROPINE  TABLET - (LOMOTIL)	Tab/27.5mg	 32.34 	 36.96 	 43.89 	 50.82 	 69.30 
313	DIPROSALIC POMADE	Tube/30g	 970.20 	 1,108.80 	 1,316.70 	 1,524.60 	 2,079.00 
314	DOMPERIDONE  - 10MG(MOTILIUM)	Tab/1	 147.00 	 168.00 	 199.50 	 231.00 	 315.00 
315	DONEPEZIL TABLET - 5MG	Tab/5mg	 205.80 	 235.20 	 279.30 	 323.40 	 441.00 
316	DOPAMINE INJECTION	Per Vial	 2,352.00 	 2,688.00 	 3,192.00 	 3,696.00 	 5,040.00 
317	DORZOLAMIDE + TIMOLOL EYE DROP	Per Blt	 3,469.20 	 3,964.80 	 4,708.20 	 5,451.60 	 7,434.00 
318	DOXAZOSIN TABLET - 4MG (CADURA)	Tab/4mg	 5,880.00 	 6,720.00 	 7,980.00 	 9,240.00 	 12,600.00 
319	DOXYCYCLINE CAPSULE - 100MG	Cap/100mg	 67.62 	 77.28 	 91.77 	 106.26 	 144.90 
320	DPT(DIPHTHERIA,TETANUS & PERTUSSIS) VACCINE	Dose/1	 1,470.00 	 1,680.00 	 1,995.00 	 2,310.00 	 3,150.00 
321	DROTAVERIN INJECTION - 1ML (NOSPA)	Vial/1ml	 264.60 	 302.40 	 359.10 	 415.80 	 567.00 
322	DROTAVERIN TABLET - 40MG( NOSPA)	Tab/40mg	 88.20 	 100.80 	 119.70 	 138.60 	 189.00 
323	DUSTASTERIDE TABLET - 0.5MG(AVODART)	Tab/0.5mg	 411.60 	 470.40 	 558.60 	 646.80 	 882.00 
324	DUTASTERID-0.5 + TAMSULOSIN-0.4 TABLET - 0.9MG(DUODART)	Tab	 411.60 	 470.40 	 558.60 	 646.80 	 882.00 
325	DYDROGESTERONE TABLET -10MG (DUPHASTON)	Tab/100mg	 502.74 	 574.56 	 682.29 	 790.02 	 1,077.30 
326	DYNAMOGEN ORAL SUSPENSION - 10MLS	Vial	 161.70 	 184.80 	 219.45 	 254.10 	 346.50 
327	E 45 CREAM	Tube/50g	 2,646.00 	 3,024.00 	 3,591.00 	 4,158.00 	 5,670.00 
328	EMPAGLIFLOZIN - 25MG (JARDIANCE)	Tab/25mg	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
329	ENOXAPARIN SODIUM INJECTION - 40IU(CUTENOX/CLEXANE)	Vial/40IU	 11,760.00 	 13,440.00 	 15,960.00 	 18,480.00 	 25,200.00 
330	ERGOMETRIN INJECTION - (ERGOTRIN)	Vial/0.5mg	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
331	ERGOMETRINE TABLET - 0.5MG 	Tab/0.5mg	 44.10 	 50.40 	 59.85 	 69.30 	 94.50 
332	ERYTHROMYCIN SYRUP - 125MG/5ML	Blt/60ml	 882.00 	 1,008.00 	 1,197.00 	 1,386.00 	 1,890.00 
333	ERYTHROMYCIN TABLET - 250MG	Tab/250mg	 147.00 	 168.00 	 199.50 	 231.00 	 315.00 
334	ERYTHROMYCIN TABLET - 500MG	Tab/500mg	 147.00 	 168.00 	 199.50 	 231.00 	 315.00 
335	ERYTHROPOETIN INJECTION - 4000IU(RECORMON) 	4000iu/vial	 14,700.00 	 16,800.00 	 19,950.00 	 23,100.00 	 31,500.00 
336	ERYTHROPOIETIN INJECTION - (MISERA) 	40001u/vial	 13,230.00 	 15,120.00 	 17,955.00 	 20,790.00 	 28,350.00 
337	ESOMEPRAZOLE TABLET - 20MG (LOSEC/NEXIUM)	TAB/20Mg	 441.00 	 504.00 	 598.50 	 693.00 	 945.00 
338	ESOMEPRAZOLE TABLET - 20MG (ZOLERIC)	TAB/20Mg	 114.66 	 131.04 	 155.61 	 180.18 	 245.70 
339	ETHAMBUTOL HIDROCHLORIDE TABLET - 400MG	Tab/400mg	 35.28 	 40.32 	 47.88 	 55.44 	 75.60 
340	ETONOGESTREL IMPLANT - 68MG(IMPLANON)	STICK/68Mg	 20,580.00 	 23,520.00 	 27,930.00 	 32,340.00 	 44,100.00 
341	EURAX CREAM - (CROTAMITON)	Per Blt	 2,058.00 	 2,352.00 	 2,793.00 	 3,234.00 	 4,410.00 
342	EUSOL SOLUTION	Per tin	 588.00 	 672.00 	 798.00 	 924.00 	 1,260.00 
343	FEBUXOSTAT TABLETS - 40MG(FEBO-G)	Tab/40mg	 235.20 	 268.80 	 319.20 	 369.60 	 504.00 
344	FENOFIBRATE TABLET - 160MG	Tab/160mg	 441.00 	 504.00 	 598.50 	 693.00 	 945.00 
345	FEROUS GLUCONATE CAPSULE  - (FEGIL)	Tab/200mg	 38.22 	 43.68 	 51.87 	 60.06 	 81.90 
346	FERROUS SULPHATE TABLET - 200MG (FESOLATE)	Tab/200mg	 29.40 	 33.60 	 39.90 	 46.20 	 63.00 
347	FINASTERIDE TABLET - 5MG(PROSCAR)	Tab/5mg	 282.24 	 322.56 	 383.04 	 443.52 	 604.80 
348	FLIXOTIDE - INHALER 	Set/1	 11,760.00 	 13,440.00 	 15,960.00 	 18,480.00 	 25,200.00 
349	FLOUXANTINE   TABLET - (20MG)	Tab/20mg	 73.50 	 84.00 	 99.75 	 115.50 	 157.50 
350	FLU VACCINE	Vial/1	 17,640.00 	 20,160.00 	 23,940.00 	 27,720.00 	 37,800.00 
351	FLUAXANOL INJECTION - 20MG(DEPEXOL INJECTION)	Vial/20mg	 970.20 	 1,108.80 	 1,316.70 	 1,524.60 	 2,079.00 
352	FLUCONAZOLE CAPSULE - 150MG 	Cap/150mg	 323.40 	 369.60 	 438.90 	 508.20 	 693.00 
353	FLUCONAZOLE CAPSULE - 50MG (DIFLUCAN)  	Cap/50mg	 793.80 	 907.20 	 1,077.30 	 1,247.40 	 1,701.00 
354	FLUCONAZOLE EAR DROP - (FLUCAMED)	BTL/10ml	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
355	FLUCONAZOLE TABLET - 200MG 	Tab/200mg	 558.60 	 638.40 	 758.10 	 877.80 	 1,197.00 
356	FLUOCLOXACILLIN CAPSULE - (FLOXAPAN)	cap/250mg	 132.30 	 151.20 	 179.55 	 207.90 	 283.50 
357	FLUOCLOXACILLIN SYRUP  - (FLOXAPEN)	Blt/100ml	 1,678.74 	 1,918.56 	 2,278.29 	 2,638.02 	 3,597.30 
358	FLUOROMETHOLINE EYE DROP - (EFEMOLINE)	Tube/10ml	 3,150.00 	 4,050.00 	 4,950.00 	 5,850.00 	 6,750.00 
359	FLUOXETINE   TABLET - (20MG)	Tab/20mg	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
360	FLUPHENAZINE DECIMOATE INJECTION - 25MG/ML(MODECATE)	Vial/25mg	 1,470.00 	 1,680.00 	 1,995.00 	 2,310.00 	 3,150.00 
361	FLUTAMIDE TABLET - 250MG(DRUGENIL)	Tab/250mg	 179.34 	 204.96 	 243.39 	 281.82 	 384.30 
362	FLUTICASONE PROPIONATE NASAL SPRAY - (FLIXONASE/AVAMYS)	SET/1	 8,820.00 	 10,080.00 	 11,970.00 	 13,860.00 	 18,900.00 
363	FLUVASTATIN TABLET - 20MG(LESCOL)	Tab/20mg	 132.30 	 151.20 	 179.55 	 207.90 	 283.50 
364	FLUVASTATIN TABLET - 40MG(LESCOL)	Tab/40mg	 317.52 	 362.88 	 430.92 	 498.96 	 680.40 
365	FOLIC ACID TABLET - 5MG	Tab/5mg	 11.76 	 13.44 	 15.96 	 18.48 	 25.20 
366	FOLINIC ACID INJECTION	Per Vial	 6,174.00 	 7,056.00 	 8,379.00 	 9,702.00 	 13,230.00 
367	FRAMYCETIN SULPHATE     SUFRATULLE- (STERITIN)	Piece/1	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
368	FRUSEMIDE INJECTION -20MG (LASIX INJECTION)	Vial/20mg	 352.80 	 403.20 	 478.80 	 554.40 	 756.00 
369	FRUSEMIDE TABLET - 40MG (LASIX)	Tab/40mg	 44.10 	 50.40 	 59.85 	 69.30 	 94.50 
370	GABAPENTINE -300 + METHYLCOBALAMINE -0.5 TAB - 300.5MG(BIOPENTINE)	Tab/300.5mg	 352.80 	 403.20 	 478.80 	 554.40 	 756.00 
371	GABAPENTINE TABLET - 300MG	Tab/300mg	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
372	GASCOL SUSPENSION	Per Blt	 1,029.00 	 1,176.00 	 1,396.50 	 1,617.00 	 2,205.00 
373	GAVISCON SYRUP	BTL/100ml	 8,232.00 	 9,408.00 	 11,172.00 	 12,936.00 	 17,640.00 
374	GENTAMYCIN 80MG INJECTION - 80MG/2ML	Vial/80mg	 294.00 	 336.00 	 399.00 	 462.00 	 630.00 
375	GENTAMYCIN EYE DROP	Tube/20mg	 2,200.00 	 2,800.00 	 3,000.00 	 4,000.00 	 3,000.00 
376	GENTAMYCIN SKIN OINTMENT - 15G	Tube/20g	 499.80 	 571.20 	 678.30 	 785.40 	 1,071.00 
377	GINGO BILOBA TABLET - (500MG)	Per Tab	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
378	GLIBENCLAMIDE TABLET - 5MG (DAONIL)	Tab/5mg	 88.20 	 100.80 	 119.70 	 138.60 	 189.00 
379	GLICLAZIDE TABLET - 30MG(DIAMICRON) 	Tab/30mg	 235.20 	 268.80 	 319.20 	 369.60 	 504.00 
380	GLIMEPIRIDE TABLET - 2MG	Tab/2mg	 85.26 	 97.44 	 115.71 	 133.98 	 182.70 
381	GLIMEPIRIDE TABLET - 4MG	Tab/4mg	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
382	GLIMEPIRIDE TABLET - 4MG (AMARYL)	Tab/4mg	 705.60 	 806.40 	 957.60 	 1,108.80 	 1,512.00 
383	GLOVES - DISPOSABLE	PCS	 67.62 	 77.28 	 91.77 	 106.26 	 144.90 
384	GLOVES - EXAMINATION	PCS	 117.60 	 134.40 	 159.60 	 184.80 	 252.00 
385	GLOVES - SURGICAL	PCS	 147.00 	 168.00 	 199.50 	 231.00 	 315.00 
386	GLUCOMETHER STRIP	PCS	 147.00 	 168.00 	 199.50 	 231.00 	 315.00 
387	GLUCOSAMINE TABLET - 250MG	Tab/250mg	 35.28 	 40.32 	 47.88 	 55.44 	 75.60 
388	GLUCOSAMINE(URAH) CREAM	Tube/25mg	 1,470.00 	 1,680.00 	 1,995.00 	 2,310.00 	 3,150.00 
