Leadway Provider Network		
Proceedure Code	Proceedure Name	Amount
25250014	ENTEROSTOMY	₦144,000.00
25250015A	EXPLORATORY LAPAROTOMY GLOBAL FEE	₦450,000.00
25250015A	EXPLORATORY LAPAROTOMY GLOBAL FEE	₦450,000.00
25250016	GASTRECTOMY   BLOCK FEE	₦250,000.00
25250016	GASTRECTOMY   BLOCK FEE	₦250,000.00
25250017	GASTROSTOMY	₦144,000.00
25250017	GASTROSTOMY	₦144,000.00
25250018	OPEN RIGHT HEMICOLECTOMY	₦192,000.00
25250018	OPEN RIGHT HEMICOLECTOMY	₦192,000.00
25250019	HEPATIC SEGMENTECTOMY	₦240,000.00
25250019	HEPATIC SEGMENTECTOMY	₦240,000.00
25250020	INTESTINAL OBSTRUCTION   RESECTION   ANASTAMOSIS  GLOBAL FEE	₦250,000.00
25250020	INTESTINAL OBSTRUCTION   RESECTION   ANASTAMOSIS  GLOBAL FEE	₦250,000.00
25250021	INTESTINAL OBSTRUCTION WITHOUT RESECTION   GLOBAL FEE	₦220,000.00
25250021	INTESTINAL OBSTRUCTION WITHOUT RESECTION   GLOBAL FEE	₦220,000.00
25250022	INTUSSUSCEPTION OPERATION	₦192,000.00
25250022	INTUSSUSCEPTION OPERATION	₦192,000.00
25250023	PANCREATIC CYSTECTOMY	₦264,000.00
25250023	PANCREATIC CYSTECTOMY	₦264,000.00
25250024	PANCREATICOJENUNOSTOMY	₦360,000.00
25250024	PANCREATICOJENUNOSTOMY	₦360,000.00
25250025	PARATHYROIDECTOMY   GLOBAL FEE	₦250,000.00
25250025	PARATHYROIDECTOMY   GLOBAL FEE	₦250,000.00
25250026	PYLOROPLASTY     VAGOTOMY   BLOCK FEE	₦200,000.00
25250026	PYLOROPLASTY     VAGOTOMY   BLOCK FEE	₦200,000.00
25250027	RADICAL MASTECTOMY	₦115,200.00
25250027	RADICAL MASTECTOMY	₦115,200.00
25250028	RADICAL MASTECTOMY   EXTENDED	₦144,000.00
25250028	RADICAL MASTECTOMY   EXTENDED	₦144,000.00
25250029	RADICAL PANCREATECTOMY	₦240,000.00
25250029	RADICAL PANCREATECTOMY	₦240,000.00
25250030	REPAIR   SPLENIC LACERATION  SPLENORRHAPHY	₦144,000.00
25250030	REPAIR   SPLENIC LACERATION  SPLENORRHAPHY	₦144,000.00
25250031	REPAIR OF SMALL LARGE BOWEL PERFORATION	₦200,000.00
25250031	REPAIR OF SMALL LARGE BOWEL PERFORATION	₦200,000.00
25250032	RESECTION AND ANASTOMOSIS  SMALL LGE INTESTINES	₦220,000.00
25250032	RESECTION AND ANASTOMOSIS  SMALL LGE INTESTINES	₦220,000.00
25250033	SPLENECTOMY	₦144,000.00
25250033	SPLENECTOMY	₦144,000.00
25250034	SUBTOTAL THYROIDECTOMY GLOBAL FEE	₦400,000.00
25250034	SUBTOTAL THYROIDECTOMY GLOBAL FEE	₦400,000.00
25250035	TOTAL THYROIDECTOMY GLOBAL	₦450,000.00
25250035	TOTAL THYROIDECTOMY GLOBAL	₦450,000.00
25250036	SKIN GRAFTING  MAJOR    9Perc SURFACE AREA	₦80,500.00
25250036	SKIN GRAFTING  MAJOR    9Perc SURFACE AREA	₦80,500.00
26260001	ANAL FISSURECTOMY	₦40,250.00
26260001	ANAL FISSURECTOMY	₦40,250.00
26260002	ANAL FISTULA   HIGH	₦40,250.00
26260002	ANAL FISTULA   HIGH	₦40,250.00
26260003	ANAL FISTULECTOMY	₦57,600.00
26260003	ANAL FISTULECTOMY	₦57,600.00
26260004	ANAL SPHINCTERECTOMY   BLOCK FEE	₦110,000.00
26260004	ANAL SPHINCTERECTOMY   BLOCK FEE	₦110,000.00
26260005	ANAL SPHINCTEROPLASTY   BLOCK FEE	₦110,000.00
26260005	ANAL SPHINCTEROPLASTY   BLOCK FEE	₦110,000.00
26260006	APPENDECTOMY   UNCOMPLICATED   GLOBAL FEE	₦320,000.00
26260006	APPENDECTOMY   UNCOMPLICATED   GLOBAL FEE	₦320,000.00
26260007	BILATERAL INGUINAL HERNIORRHAPHY W OUT MESH   GLOBAL FEE	₦250,000.00
26260007	BILATERAL INGUINAL HERNIORRHAPHY W OUT MESH   GLOBAL FEE	₦250,000.00
26260008	BILATERAL INGUINAL HERNIORRHAPHY WITH MESH   GLOBAL FEE	₦300,000.00
26260008	BILATERAL INGUINAL HERNIORRHAPHY WITH MESH   GLOBAL FEE	₦300,000.00
26260009	BIOPSY   ABDOMINAL WALL TUMOUR   BLOCK FEE	₦109,250.00
26260009	BIOPSY   ABDOMINAL WALL TUMOUR   BLOCK FEE	₦109,250.00
26260010	COLOSTOMY CLOSURE   BLOCK FEE	₦150,000.00
26260010	COLOSTOMY CLOSURE   BLOCK FEE	₦150,000.00
26260011	DISSECTION   INGUINAL NODES	₦33,600.00
26260011	DISSECTION   INGUINAL NODES	₦33,600.00
26260012	DISSECTION  FEMORAL TRIANGLE	₦48,000.00
26260012	DISSECTION  FEMORAL TRIANGLE	₦48,000.00
26260013	DRAINAGE   HEPATIC ABSCESS   BLOCK FEE	₦130,000.00
26260013	DRAINAGE   HEPATIC ABSCESS   BLOCK FEE	₦130,000.00
26260014	ENTEROCUTANEOUS FISTULECTOMY	₦144,000.00
26260014	ENTEROCUTANEOUS FISTULECTOMY	₦144,000.00
26260015	EPIGASTRIC HERNIORRHAPHY   GLOBAL FEE	₦250,000.00
26260015	EPIGASTRIC HERNIORRHAPHY   GLOBAL FEE	₦250,000.00
26260016	EXCISION   CYSTIC HYGROMA	₦144,000.00
26260016	EXCISION   CYSTIC HYGROMA	₦144,000.00
26260018	FEMORAL HERNIORRHAPHY   GLOBAL FEE	₦250,000.00
26260018	FEMORAL HERNIORRHAPHY   GLOBAL FEE	₦250,000.00
26260019	HAEMORRHOIDECTOMY   GLOBAL FEE	₦120,000.00
26260019	HAEMORRHOIDECTOMY   GLOBAL FEE	₦120,000.00
26260020	HERNIOTOMY   BILATERAL   GLOBAL FEE	₦170,000.00
26260020	HERNIOTOMY   BILATERAL   GLOBAL FEE	₦170,000.00
26260021	HERNIOTOMY   GLOBAL FEE	₦130,000.00
26260021	HERNIOTOMY   GLOBAL FEE	₦130,000.00
26260022	HIATUS HERNIORRAPHY   GLOBAL FEE	₦300,000.00
26260022	HIATUS HERNIORRAPHY   GLOBAL FEE	₦300,000.00
26260023	HYDROCELECTOMY   UNILATERAL   GLOBAL FEE	₦180,000.00
26260023	HYDROCELECTOMY   UNILATERAL   GLOBAL FEE	₦180,000.00
26260024	HYDROCELECTOMY BILATERAL GLOBAL FEE	₦136,200.00
26260024	HYDROCELECTOMY BILATERAL GLOBAL FEE	₦136,200.00
26260025	INCISIONAL HERNIORRHAPHY W OUT MESH   GLOBAL FEE	₦250,000.00
26260025	INCISIONAL HERNIORRHAPHY W OUT MESH   GLOBAL FEE	₦250,000.00
26260026	INCISIONAL HERNIORRHAPHY WITH MESH   GLOBAL FEE	₦300,000.00
26260026	INCISIONAL HERNIORRHAPHY WITH MESH   GLOBAL FEE	₦300,000.00
26260027	INJECTION SCLEROTHERAPY   HAEMORRHOIDS	₦11,500.00
26260027	INJECTION SCLEROTHERAPY   HAEMORRHOIDS	₦11,500.00
26260028	INJECTION SCLEROTHERAPY   VARICOSE VEINS	₦11,500.00
26260028	INJECTION SCLEROTHERAPY   VARICOSE VEINS	₦11,500.00
26260029	PARAUMBILICAL HERNIA W OUT MESH   GLOBAL FEE	₦250,000.00
26260029	PARAUMBILICAL HERNIA W OUT MESH   GLOBAL FEE	₦250,000.00
26260030	PARAUMBILICAL HERNIA WITH MESH   GLOBAL FEE	₦300,000.00
26260030	PARAUMBILICAL HERNIA WITH MESH   GLOBAL FEE	₦300,000.00
26260031	SIMPLE MASTECTOMY   GLOBAL FEE	₦150,000.00
26260031	SIMPLE MASTECTOMY   GLOBAL FEE	₦150,000.00
26260032	UMBILICAL HERNIORRHAPHY W OUT MESH   GLOBAL FEE	₦250,000.00
26260032	UMBILICAL HERNIORRHAPHY W OUT MESH   GLOBAL FEE	₦250,000.00
26260033	UMBILICAL HERNIORRHAPHY WITH MESH   GLOBAL FEE	₦300,000.00
26260033	UMBILICAL HERNIORRHAPHY WITH MESH   GLOBAL FEE	₦300,000.00
26260033	UMBILICAL HERNIORRHAPHY WITH MESH   GLOBAL FEE	₦300,000.00
26260034	UNILATERAL INGUINAL HERNIORRHAPHY W OUT MESH   GLOBAL FEE	₦250,000.00
26260034	UNILATERAL INGUINAL HERNIORRHAPHY W OUT MESH   GLOBAL FEE	₦250,000.00
26260035	UNILATERAL INGUINAL HERNIORRHAPHY WITH MESH   GLOBAL FEE	₦300,000.00
26260035	UNILATERAL INGUINAL HERNIORRHAPHY WITH MESH   GLOBAL FEE	₦300,000.00
26260036	SKIN GRAFTING  MINOR    9Perc SURFACE AREA	₦55,200.00
26260036	SKIN GRAFTING  MINOR    9Perc SURFACE AREA	₦55,200.00
26260037	BIOPSY   OESOPHAGEAL MASS	₦57,500.00
26260037	BIOPSY   OESOPHAGEAL MASS	₦57,500.00
26260038	ENDOSCOPY   COLONOSCOPY	₦57,500.00
26260039	ENDOSCOPY   GASTROSCOPY	₦33,400.00
26260040	ENDOSCOPY   LOWER GI  THERAPEUTIC	₦68,000.00
26260041	ENDOSCOPY   OESOPHAGOGASTRODUODENOSCOPY	₦57,500.00
26260042	ENDOSCOPY   OESOPHAGOSCOPY	₦28,400.00
26260043	ENDOSCOPY   RECTOSIGMOIDOSCOPY	₦38,000.00
26260044	ENDOSCOPY   SIGMOIDOSCOPY	₦28,750.00
26260045	ENDOSCOPY   UPPER GI  THERAPEUTIC	₦38,000.00
26260046	PROCTOSCOPY	₦23,000.00
26260046	PROCTOSCOPY	₦23,000.00
26260046	PROCTOSCOPY	₦23,000.00
26260047	VARICEAL BANDING	₦111,200.00
26260047	VARICEAL BANDING	₦111,200.00
26260048	BRONCHOSCOPY	₦46,000.00
26260048	BRONCHOSCOPY	₦46,000.00
26260048	BRONCHOSCOPY	₦46,000.00
27270001	ADULT CIRCUMCISION	₦48,000.00
27270001	ADULT CIRCUMCISION	₦48,000.00
27270001	ADULT CIRCUMCISION	₦48,000.00
27270002	BIOPSY OF THYROID GLAND	₦28,750.00
27270002	BIOPSY OF THYROID GLAND	₦28,750.00
27270003	CHEST TUBE INSERTION   BLOCK FEE	₦30,000.00
27270003	CHEST TUBE INSERTION   BLOCK FEE	₦30,000.00
27270004	DRAINAGE   ANAL ABSCESS   BLOCK FEE	₦28,000.00
27270004	DRAINAGE   ANAL ABSCESS   BLOCK FEE	₦28,000.00
27270005	DRAINAGE OF BREAST ABSCESS   BLOCK FEE	₦12,500.00
27270005	DRAINAGE OF BREAST ABSCESS   BLOCK FEE	₦12,500.00
27270006	EVACUATION   ANAL HAEMATOMA	₦33,600.00
27270006	EVACUATION   ANAL HAEMATOMA	₦33,600.00
27270007	EXCISION   BREAST LUMP	₦60,000.00
27270007	EXCISION   BREAST LUMP	₦60,000.00
27270007	EXCISION   BREAST LUMP	₦60,000.00
27270008	EXCISION   GANGLION   BLOCK FEE	₦50,000.00
27270008	EXCISION   GANGLION   BLOCK FEE	₦50,000.00
27270009A	EXCISION INGROWING TOENAIL BILATERAL	₦20,000.00
27270009A	EXCISION INGROWING TOENAIL BILATERAL	₦20,000.00
27270010	EXCISION   SMALL CYST	₦28,900.00
27270010	EXCISION   SMALL CYST	₦28,900.00
27270012	EXCISION GRANULOMA WITH HISTOLOGY	₦15,000.00
27270012	EXCISION GRANULOMA WITH HISTOLOGY	₦15,000.00
27270012A	INCISION BIOPSY  BLOCK FEE	₦25,000.00
27270012A	INCISION BIOPSY  BLOCK FEE	₦25,000.00
27270012A	INCISION BIOPSY  BLOCK FEE	₦25,000.00
27270013	FINE NEEDLE ASPIRATION CYTOLOGY  ALL INCLUSIVE	₦20,000.00
27270014	INCISION AND DRAINAGE   INTERMEDIATE	₦14,400.00
27270014	INCISION AND DRAINAGE   INTERMEDIATE	₦14,400.00
27270014	INCISION AND DRAINAGE   INTERMEDIATE	₦14,400.00
27270015	ISCHIORECTAL ABSCESS DEROOFING	₦33,600.00
27270015	ISCHIORECTAL ABSCESS DEROOFING	₦33,600.00
27270016	LIPOMA EXCISION	₦150,000.00
27270016	LIPOMA EXCISION	₦25,000.00
27270016	LIPOMA EXCISION	₦150,000.00
27270016	LIPOMA EXCISION	₦25,000.00
27270016	LIPOMA EXCISION	₦150,000.00
27270016	LIPOMA EXCISION	₦25,000.00
27270017	LUMPECTOMY INERTMEDIATE  5CM   10 CM    BLOCK FEE	₦24,000.00
27270017	LUMPECTOMY INERTMEDIATE  5CM   10 CM    BLOCK FEE	₦24,000.00
27270019	LUMPECTOMY MINOR   5 CM    BLOCK FEE	₦14,400.00
27270019	LUMPECTOMY MINOR   5 CM    BLOCK FEE	₦14,400.00
27270019B	LUMPECTOMY MAJOR  10 CM    BLOCK FEE	₦33,600.00
27270019B	LUMPECTOMY MAJOR  10 CM    BLOCK FEE	₦33,600.00
27270019B	LUMPECTOMY MAJOR  10 CM    BLOCK FEE	₦33,600.00
27270019B	LUMPECTOMY MAJOR  10 CM    BLOCK FEE	₦33,600.00
27270020	SURGICAL DRAINAGE   GALACTOCOELE	₦12,500.00
27270020	SURGICAL DRAINAGE   GALACTOCOELE	₦12,500.00
27270021	SURGICAL DRAINAGE   HAEMATOMA OF RECTUS ABDOMINIS	₦42,000.00
27270021	SURGICAL DRAINAGE   HAEMATOMA OF RECTUS ABDOMINIS	₦42,000.00
27270022	WOUND EXPLORATION   INTERMEDIATE	₦19,200.00
27270022	WOUND EXPLORATION   INTERMEDIATE	₦19,200.00
27270023	WOUND EXPLORATION   MAJOR	₦24,000.00
27270023	WOUND EXPLORATION   MAJOR	₦24,000.00
27270024	LIVER BIOPSY	₦26,000.00
27270024	LIVER BIOPSY	₦26,000.00
27270025	PUNCH BIOPSY	₦16,000.00
27270025	PUNCH BIOPSY	₦16,000.00
27270026	BONE MARROW BIOPSY	₦31,625.00
27270026	BONE MARROW BIOPSY	₦31,625.00
27270027	BONE MARROW ASPIRATION	₦28,800.00
27270027	BONE MARROW ASPIRATION	₦28,800.00
29290001	BILATERAL TUBAL LIGATION INTRA OP	₦50,000.00
29290001	BILATERAL TUBAL LIGATION INTRA OP	₦50,000.00
29290002	BILATERAL TUBL LIGATION  INTERVAL PROCEDURE    GLOBAL	₦100,000.00
29290002	BILATERAL TUBL LIGATION  INTERVAL PROCEDURE    GLOBAL	₦100,000.00
29290003	BIOPSY   OVARIAN  INTRA OP	₦25,000.00
29290003	BIOPSY   OVARIAN  INTRA OP	₦25,000.00
29290004	CERVICAL BIOPSY  PUNCH    BLOCK FEE	₦25,000.00
29290004	CERVICAL BIOPSY  PUNCH    BLOCK FEE	₦25,000.00
29290005	CERVICAL CONE BIOPSY  BLOCK FEE	₦25,000.00
29290005	CERVICAL CONE BIOPSY  BLOCK FEE	₦25,000.00
29290006	CERVICAL DILATATION	₦34,500.00
29290006	CERVICAL DILATATION	₦34,500.00
29290007	CERVICAL POLYPECTOMY  BLOCK FEE	₦25,000.00
29290007	CERVICAL POLYPECTOMY  BLOCK FEE	₦25,000.00
29290008	COLPOSCOPY   BLOCK FEE	₦30,000.00
29290009	CRYOCAUTERY OF CERVICAL LESION  CAUTERIZATION    BLOCK FEE	₦17,250.00
29290009	CRYOCAUTERY OF CERVICAL LESION  CAUTERIZATION    BLOCK FEE	₦17,250.00
29290010	ECTOPIC PREGNANCY   SALPINGECTOMY   GLOBAL FEE	₦180,000.00
29290010	ECTOPIC PREGNANCY   SALPINGECTOMY   GLOBAL FEE	₦180,000.00
29290011	ELECTRO CAUTERY   WARTS  GENITAL    BLOCK FEE	₦10,000.00
29290011	ELECTRO CAUTERY   WARTS  GENITAL    BLOCK FEE	₦10,000.00
29290012	ENDOMETRIAL BIOPSY   BLOCK FEE	₦50,000.00
29290012	ENDOMETRIAL BIOPSY   BLOCK FEE	₦50,000.00
29290012	ENDOMETRIAL BIOPSY   BLOCK FEE	₦50,000.00
29290013A	MEDICAL EVACUATION OF THE UTERUS GLOBAL FEE	₦50,000.00
29290013A	MEDICAL EVACUATION OF THE UTERUS GLOBAL FEE	₦50,000.00
29290013A	MEDICAL EVACUATION OF THE UTERUS GLOBAL FEE	₦50,000.00
29290013A	MEDICAL EVACUATION OF THE UTERUS GLOBAL FEE	₦50,000.00
29290014	EXAMINATION UNDER ANAESTHESIA  EUA    BLOCK FEE	₦60,000.00
29290014	EXAMINATION UNDER ANAESTHESIA  EUA    BLOCK FEE	₦60,000.00
29290015	EXAMINATION UNDER ANAESTHESIA FOR STAGING AND BIOPSY   BLOCK FEE	₦100,000.00
29290015	EXAMINATION UNDER ANAESTHESIA FOR STAGING AND BIOPSY   BLOCK FEE	₦100,000.00
29290016	EXCISION   VAGINAL SEPTUM   BLOCK FEE	₦50,000.00
29290016	EXCISION   VAGINAL SEPTUM   BLOCK FEE	₦50,000.00
29290017	EXCISION   VULVA WARTS   BLOCK FEE	₦15,000.00
29290017	EXCISION   VULVA WARTS   BLOCK FEE	₦15,000.00
29290018	HYSTERECTOMY OVARIECTOMY PLUS BILATERAL SALPINGO OOPHORECTOMY	₦450,000.00
29290018	HYSTERECTOMY OVARIECTOMY PLUS BILATERAL SALPINGO OOPHORECTOMY	₦450,000.00
29290019	HYSTERECTOMY VAGINAL   GLOBAL FEE	₦450,000.00
29290019	HYSTERECTOMY VAGINAL   GLOBAL FEE	₦450,000.00
29290020	LAPARASCOPY   DYE TEST   BLOCK FEE	₦50,000.00
29290020	LAPARASCOPY   DYE TEST   BLOCK FEE	₦50,000.00
29290021	MANCHESTER REPAIR FOR UTERINE PROLAPSE   GLOBAL FEE	₦250,000.00
29290021	MANCHESTER REPAIR FOR UTERINE PROLAPSE   GLOBAL FEE	₦250,000.00
29290022	MARSUPIALIZATION	₦30,000.00
29290022	MARSUPIALIZATION	₦30,000.00
29290023	MYOMECTOMY GREATER THAN 20 WEEKS GLOBAL FEE	₦500,000.00
29290023	MYOMECTOMY GREATER THAN 20 WEEKS GLOBAL FEE	₦500,000.00
29290024	MYOMECTOMY LESS THAN 20 WEEKS GLOBAL FEE	₦350,000.00
29290024	MYOMECTOMY LESS THAN 20 WEEKS GLOBAL FEE	₦350,000.00
29290024	MYOMECTOMY LESS THAN 20 WEEKS GLOBAL FEE	₦350,000.00
29290024A	MYOMECTOMY WITH SALPINGECTOMY	₦350,000.00
29290025	MYOMECTOMY  REPEAT    GLOBAL FEE	₦400,000.00
29290025	MYOMECTOMY  REPEAT    GLOBAL FEE	₦400,000.00
29290026	MYOMECTOMY   DYE TEST   GLOBAL FEE	₦300,000.00
29290026	MYOMECTOMY   DYE TEST   GLOBAL FEE	₦300,000.00
29290027	MYOMECTOMY   OVARIAN CYSTECTOMY   GLOBAL FEE	₦400,000.00
29290027	MYOMECTOMY   OVARIAN CYSTECTOMY   GLOBAL FEE	₦400,000.00
29290029	OOPHORECTOMY   GLOBAL FEE	₦250,000.00
29290029	OOPHORECTOMY   GLOBAL FEE	₦250,000.00
29290030	OVARIAN CYSTECTOMY BILATERAL  GLOBAL	₦320,000.00
29290030	OVARIAN CYSTECTOMY BILATERAL  GLOBAL	₦320,000.00
29290031	COLPOPERINEORRAPHY	₦250,000.00
29290031	COLPOPERINEORRAPHY	₦250,000.00
29290032	RECONSTRUCTION   VAGINAL   GLOBAL FEE	₦100,000.00
29290032	RECONSTRUCTION   VAGINAL   GLOBAL FEE	₦100,000.00
29290033	RECTO VAGINAL FISTULA REPAIR   GLOBAL FEE	₦250,000.00
29290033	RECTO VAGINAL FISTULA REPAIR   GLOBAL FEE	₦250,000.00
29290034	REMOVAL   IUCD UNDER GENERAL ANAESTHESIA   BLOCK FEE	₦55,000.00
29290034	REMOVAL   IUCD UNDER GENERAL ANAESTHESIA   BLOCK FEE	₦55,000.00
29290035	REPAIR   PERFORATED UTERUS   GLOBAL FEE	₦250,000.00
29290035	REPAIR   PERFORATED UTERUS   GLOBAL FEE	₦250,000.00
29290036	SALPINGO OOPHORECTOMY   GLOBAL FEE	₦200,000.00
29290036	SALPINGO OOPHORECTOMY   GLOBAL FEE	₦200,000.00
29290037	UTERINE COLPOLYPECTOMY   BLOCK FEE	₦40,000.00
29290037	UTERINE COLPOLYPECTOMY   BLOCK FEE	₦40,000.00
29290038	VAGINOPLASTY   INTERMEDIATE   GLOBAL FEE	₦150,000.00
29290038	VAGINOPLASTY   INTERMEDIATE   GLOBAL FEE	₦150,000.00
29290039	VAGINOPLASTY   MAJOR   GLOBAL FEE	₦200,000.00
29290039	VAGINOPLASTY   MAJOR   GLOBAL FEE	₦200,000.00
29290040	VAGINOPLASTY   MINOR   GLOBAL FEE	₦120,000.00
29290040	VAGINOPLASTY   MINOR   GLOBAL FEE	₦120,000.00
29290041	VESICO VAGINAL FISTULA REPAIR   GLOBAL	₦250,000.00
29290041	VESICO VAGINAL FISTULA REPAIR   GLOBAL	₦250,000.00
29290042	WEDGE RESECTION  OVARY   GLOBAL FEE	₦180,000.00
29290042	WEDGE RESECTION  OVARY   GLOBAL FEE	₦180,000.00
29290043	ASPIRATION OF JOINT  BLOCK FEE   OPEN	₦18,975.00
29290043	ASPIRATION OF JOINT  BLOCK FEE   OPEN	₦18,975.00
29290044	BIOPSY OF BONE TUMOUR	₦25,000.00
30300001	NEUROSURGICAL OPERATIONS	₦350,000.00
30300002	DUROPLASTY	₦350,000.00
30300003	BURR DRAINAGE OR CRANIOTOMY FOR HAEMATOMA	₦350,000.00
30300003	BURR DRAINAGE OR CRANIOTOMY FOR HAEMATOMA	₦350,000.00
30300004	CRANIOTOMY AND EVACUATION OF HAEMATOMA	₦350,000.00
30300004	CRANIOTOMY AND EVACUATION OF HAEMATOMA	₦350,000.00
30300004	CRANIOTOMY AND EVACUATION OF HAEMATOMA	₦350,000.00
30300005	CRANIOTOMY	₦350,000.00
30300005	CRANIOTOMY	₦350,000.00
30300005	CRANIOTOMY	₦350,000.00
30300006	VENTRICULOPERITONEAL SHUNT	₦350,000.00
30300006	VENTRICULOPERITONEAL SHUNT	₦350,000.00
30300006	VENTRICULOPERITONEAL SHUNT	₦350,000.00
30300006	VENTRICULOPERITONEAL SHUNT	₦350,000.00
30300006	VENTRICULOPERITONEAL SHUNT	₦350,000.00
30300007	SPINAL BIFIDA REPAIR	₦350,000.00
30300008	ELEVATION OF DEPRESSED SKULL FRACTURE WITH OR WITHOUT DUROPLASTY	₦350,000.00
30300009	SPINE SURGERY	₦350,000.00
30300009	SPINE SURGERY	₦350,000.00
30300009	SPINE SURGERY	₦350,000.00
30300010	EXCISION   ENCEPHALOCELE	₦350,000.00
30300011	ARTHROSCOPIC ANTERIOR CRUCIATE LIGAMENT REPAIR	₦500,000.00
30300011	ARTHROSCOPIC ANTERIOR CRUCIATE LIGAMENT REPAIR	₦500,000.00
30300011	ARTHROSCOPIC ANTERIOR CRUCIATE LIGAMENT REPAIR	₦500,000.00
30300012	ARTHROSCOPIC MENISCETOMY	₦400,000.00
30300012	ARTHROSCOPIC MENISCETOMY	₦400,000.00
30300012	ARTHROSCOPIC MENISCETOMY	₦400,000.00
30300013	CLOSE REDUCTION AND TITANIUM ELASTIC NAILING FOR THE TIBIA AND FIBULA	₦435,000.00
30300013	CLOSE REDUCTION AND TITANIUM ELASTIC NAILING FOR THE TIBIA AND FIBULA	₦435,000.00
30300014	CLOSED REDUCTION AND DHS FRACTURE FIXATION	₦308,000.00
30300015	CLOSED REDUCTION AND EXTERNAL FIXATION OF THE PELVIS ACETABULUM	₦308,000.00
30300016	CLOSED REDUCTION AND INTERLOCKED NAILING  PROX FEMORAL	₦308,000.00
30300017	CLOSED REDUCTION AND INTERLOCKED NAILING  RETROGRADE OF FEMORAL FRACTURE	₦308,000.00
30300017	CLOSED REDUCTION AND INTERLOCKED NAILING  RETROGRADE OF FEMORAL FRACTURE	₦308,000.00
30300017	CLOSED REDUCTION AND INTERLOCKED NAILING  RETROGRADE OF FEMORAL FRACTURE	₦308,000.00
30300018	CLOSED REDUCTION AND INTERLOCKED NAILING  STANDARD OF FEMORAL FRACTURE	₦308,000.00
30300019	CLOSED REDUCTION AND TITANIUM ELASTIC NAILING OF THE FEMUR	₦308,000.00
30300019	CLOSED REDUCTION AND TITANIUM ELASTIC NAILING OF THE FEMUR	₦308,000.00
30300020	DIAGNOSTIC KNEE ARTHROSCOPY   WASHOUT	₦180,000.00
30300021	DRAINAGE OF SEPTIC ARTHRITIS  ARTHROSCOPIC    BLOCK FEE	₦195,500.00
30300021	DRAINAGE OF SEPTIC ARTHRITIS  ARTHROSCOPIC    BLOCK FEE	₦195,500.00
30300022	HEMIARTHROPLASTY  BIPOLAR  HIP	₦457,000.00
30300023	OPEN REDUCTION   PLATE SCREW FIXATION MALUNITED ANKLE FRACTURE	₦272,200.00
30300023	OPEN REDUCTION   PLATE SCREW FIXATION MALUNITED ANKLE FRACTURE	₦272,200.00
30300023	OPEN REDUCTION   PLATE SCREW FIXATION MALUNITED ANKLE FRACTURE	₦272,200.00
30300024	OPEN REDUCTION   PLATE SCREW FIXATION OF BOTH RADIUS AND ULNA	₦264,000.00
30300025	OPEN REDUCTION   PLATE SCREW FIXATION OF EITHER RADIUS OR ULNA	₦176,000.00
30300025	OPEN REDUCTION   PLATE SCREW FIXATION OF EITHER RADIUS OR ULNA	₦176,000.00
30300026	OPEN REDUCTION   PLATE SCREW FIXATION  PROX FEMORAL	₦264,000.00
30300026	OPEN REDUCTION   PLATE SCREW FIXATION  PROX FEMORAL	₦264,000.00
30300026	OPEN REDUCTION   PLATE SCREW FIXATION  PROX FEMORAL	₦264,000.00
30300027	OPEN REDUCTION   PLATE SCREW FIXATION  SHAFT OF TIBIA AND FIBULA	₦272,200.00
30300027	OPEN REDUCTION   PLATE SCREW FIXATION  SHAFT OF TIBIA AND FIBULA	₦272,200.00
30300028	OPEN REDUCTION   PLATE SCREW FIXATION  SHAFT OF TIBIA OR FIBULA	₦232,160.00
30300028	OPEN REDUCTION   PLATE SCREW FIXATION  SHAFT OF TIBIA OR FIBULA	₦232,160.00
30300029	OPEN REDUCTION   PLATE SCREW FIXATION  TIBIAL PLATEAU	₦290,680.00
30300029	OPEN REDUCTION   PLATE SCREW FIXATION  TIBIAL PLATEAU	₦290,680.00
30300030	OPEN REDUCTION  OR  AND PLATE AND SCREW FIXATION FOR HUMERUS	₦200,000.00
30300030	OPEN REDUCTION  OR  AND PLATE AND SCREW FIXATION FOR HUMERUS	₦200,000.00
30300030	OPEN REDUCTION  OR  AND PLATE AND SCREW FIXATION FOR HUMERUS	₦200,000.00
30300031	OPEN REDUCTION AND CASTING DDH	₦247,480.00
30300032	OPEN REDUCTION AND EXTERNAL FIXATION OF THE PELVIS ACETABULUM	₦396,000.00
30300032	OPEN REDUCTION AND EXTERNAL FIXATION OF THE PELVIS ACETABULUM	₦396,000.00
30300033	OPEN REDUCTION AND INTERNAL FIXATION OF THE PELVIS ACETABULUM	₦440,000.00
30300033	OPEN REDUCTION AND INTERNAL FIXATION OF THE PELVIS ACETABULUM	₦440,000.00
30300033	OPEN REDUCTION AND INTERNAL FIXATION OF THE PELVIS ACETABULUM	₦440,000.00
30300034	OPEN REDUCTION AND PINNING SUFE	₦275,200.00
30300035	OPEN REDUCTION AND PLATE AND SCREW FIXATION	₦200,000.00
30300035	OPEN REDUCTION AND PLATE AND SCREW FIXATION	₦200,000.00
30300036	OPEN REDUCTION AND PLATE AND SCREW FIXATION  ANKLE	₦210,600.00
30300037	OPEN REDUCTION AND PLATE AND SCREW FIXATION  PILON FRACTURE	₦303,000.00
30300038	OPEN REDUCTION AND PLATE SCREW FIXATION  DIST FEMORAL	₦264,000.00
